keyword,volume_pl,keyword_difficulty,intent,paid_competition,cpc_pln,serp_features
"audyt seo",1600,49,commercial,MEDIUM,9.71,"ai_overview|organic|people_also_ask|related_searches|images"
"co to jest seo copywriting",40,,informational,LOW,,
"content marketing",12100,0,commercial,LOW,3.94,"ai_overview|organic|people_also_ask|video|short_videos|related_searches|knowledge_graph|images"
"ile kosztuje pozycjonowanie",590,4,informational,LOW,2.44,"ai_overview|organic|people_also_ask|video|related_searches"
"jak działa pozycjonowanie stron",30,,informational,,,
"jak znaleźć słowa kluczowe",50,,informational,LOW,,
"jak zrobić audyt seo",70,,informational,LOW,1.04,
"marketing dla małej firmy",30,,commercial,LOW,,
"pozycjonowanie cena",1000,22,commercial,LOW,7.88,"ai_overview|organic|people_also_ask|related_searches|images"
"pozycjonowanie lokalne",880,0,commercial,LOW,6.07,"ai_overview|images|organic|people_also_ask"
"pozycjonowanie stron",5400,34,commercial,MEDIUM,19.58,"featured_snippet|people_also_ask|organic|local_pack|related_searches|images"
"pozycjonowanie wizytówki google",1300,0,commercial,MEDIUM,7.95,"ai_overview|organic|video|people_also_ask|images|related_searches"
"seo copywriting",1000,0,commercial,LOW,4.58,"ai_overview|organic|people_also_ask|video|related_searches"
"tekst seo przykład",210,0,informational,LOW,0.36,"ai_overview|organic|people_also_ask|images"
"wynik jakości google ads",70,,informational,LOW,,
"wyszukiwarka słów kluczowych",480,0,informational,LOW,2.75,"ai_overview|organic|people_also_ask|people_also_search|related_searches"
